DateTime;0.1-1.0;1.0-20.0;4.0-14.0;4.0-20.0
2015-02-23 22:50:50;1.91479930359e-07;3.98906245379e-10;8.11677235387e-11;8.29598940109e-11
2015-02-23 23:05:50;2.00419344095e-07;4.12364114221e-10;7.86216569407e-11;8.03782708805e-11
2015-02-23 23:20:50;2.14447230419e-07;4.20558283073e-10;8.07226308969e-11;8.24723507431e-11
2015-02-24 00:00:00;1.86426876449e-07;3.98568297722e-10;8.53776829899e-11;8.71873145015e-11
2015-02-24 00:15:00;2.02520461313e-07;3.9480433958e-10;8.44596514895e-11;8.60952947762e-11
2015-02-24 00:30:00;2.10147726298e-07;3.82571835599e-10;7.90742492879e-11;8.06484455122e-11
2015-02-24 00:45:00;2.03265178592e-07;3.86216239714e-10;7.45222998192e-11;7.60870417924e-11
2015-02-24 01:00:00;1.92190408654e-07;3.97407790687e-10;8.53012403297e-11;8.67126705017e-11
2015-02-24 01:15:00;1.94020585524e-07;4.01894809127e-10;1.0049831738e-10;1.01714314795e-10
2015-02-24 01:30:00;1.86886579235e-07;3.9732617039e-10;9.54838149488e-11;9.63285291588e-11
2015-02-24 01:45:00;1.9519430215e-07;3.78455715453e-10;9.15275472234e-11;9.24270617249e-11
2015-02-24 02:00:00;1.96076242531e-07;3.9478262167e-10;8.6493428645e-11;8.75227721596e-11
2015-02-24 02:15:00;1.7076599974e-07;3.88800008022e-10;8.34345265771e-11;8.43293323368e-11
2015-02-24 02:30:00;1.83255445363e-07;6.71302079579e-10;7.97911029014e-11;8.09166752072e-11
2015-02-24 02:45:00;1.80967279921e-07;6.71148767441e-10;8.5861752027e-11;8.72572110611e-11
2015-02-24 03:00:00;1.93217766245e-07;3.78694102561e-10;8.44760748063e-11;8.5646271917e-11
2015-02-24 03:15:00;1.80383048364e-07;3.68238915881e-10;7.31725972287e-11;7.41005723534e-11
2015-02-24 03:30:00;1.82731212605e-07;3.6155113955e-10;7.02611093454e-11;7.11075149692e-11
2015-02-24 03:45:00;1.86244218922e-07;3.52185686514e-10;6.78824874477e-11;6.87645581457e-11
2015-02-24 04:00:00;2.03887537481e-07;3.44288933657e-10;6.81832513259e-11;6.90658919326e-11
2015-02-24 04:15:00;1.88517218435e-07;4.47150655183e-10;7.19367425057e-11;7.28703931332e-11
2015-02-24 04:30:00;1.80956133801e-07;5.8605180221e-10;7.66067566365e-11;7.76918290529e-11
2015-02-24 04:45:00;1.77927204651e-07;4.66113720299e-10;7.34119872773e-11;7.45955818992e-11
2015-02-24 05:00:00;2.0692352384e-07;7.08697593315e-09;1.57499770343e-10;1.58049811264e-10
2015-02-24 05:15:00;2.19048763772e-07;6.06218621416e-09;1.42216174651e-10;1.42851063712e-10
2015-02-24 05:30:00;1.66216601649e-07;3.96196449908e-10;7.17791057359e-11;7.30578805013e-11
2015-02-24 05:45:00;1.70937516157e-07;3.58104705428e-10;6.50262516775e-11;6.63111200068e-11
2015-02-24 06:00:00;1.69278849152e-07;3.52075484772e-10;6.1210642216e-11;6.26758159015e-11
2015-02-24 06:15:00;1.74280572653e-07;3.50293812201e-10;6.12840182067e-11;6.32243741916e-11
2015-02-24 06:30:00;1.61333053058e-07;3.70388418928e-10;6.30767760161e-11;6.50616609323e-11
2015-02-24 06:45:00;1.58736538895e-07;4.41856027627e-10;6.15952158698e-11;6.31805095362e-11
2015-02-24 07:00:00;1.76889783534e-07;3.96324503325e-10;6.20801054592e-11;6.36787460581e-11
2015-02-24 07:15:00;1.71432088157e-07;3.70728114408e-10;7.22966213661e-11;7.36582912293e-11
2015-02-24 07:30:00;1.64217048038e-07;3.81814460265e-10;8.10065181525e-11;8.22818837732e-11
2015-02-24 07:45:00;1.59334566137e-07;3.86394601124e-10;8.26947383242e-11;8.403610413e-11
2015-02-24 08:00:00;1.62547550389e-07;4.05947753744e-10;8.34429197129e-11;8.48501951418e-11
2015-02-24 08:15:00;1.59714310617e-07;4.21479717022e-10;9.44833044113e-11;9.60733513448e-11
2015-02-24 08:30:00;1.66290728251e-07;4.32074396848e-10;1.05455570933e-10;1.07579846002e-10
2015-02-24 08:45:00;1.62235433598e-07;4.67758645204e-10;1.05683880431e-10;1.07630340655e-10
2015-02-24 09:00:00;1.48623188509e-07;4.87403365478e-10;1.06440599506e-10;1.08262651053e-10
2015-02-24 09:15:00;1.5513201047e-07;4.8203177862e-10;1.08660506934e-10;1.10463975152e-10
2015-02-24 09:30:00;1.57920431103e-07;4.92511766811e-10;1.06280018342e-10;1.08209449909e-10
2015-02-24 09:45:00;1.47371154184e-07;5.16149098714e-10;1.06820452446e-10;1.09045839809e-10
2015-02-24 10:00:00;1.4480493643e-07;5.31268155274e-10;1.12551292592e-10;1.15125948766e-10
2015-02-24 10:15:00;1.52110584954e-07;5.51779419707e-10;1.17236553476e-10;1.19726282451e-10
2015-02-24 10:30:00;1.54623717491e-07;5.6474097818e-10;1.17471432668e-10;1.19492438397e-10
2015-02-24 10:45:00;1.39686057191e-07;5.75794864287e-10;1.21199114006e-10;1.23017088981e-10
2015-02-24 11:00:00;1.36369680517e-07;5.83716522636e-10;1.2796665535e-10;1.29595507739e-10
2015-02-24 11:15:00;1.39314357222e-07;6.02027038621e-10;1.31074470196e-10;1.328434006e-10
2015-02-24 11:30:00;1.39058981692e-07;6.05881332332e-10;1.36326150616e-10;1.3826832915e-10
2015-02-24 11:45:00;1.46167282622e-07;6.04169759061e-10;1.33117000592e-10;1.34972498515e-10
2015-02-24 12:00:00;1.37676507189e-07;6.21632572618e-10;1.30873162106e-10;1.32522160663e-10
2015-02-24 12:15:00;1.32923341849e-07;6.32594711916e-10;1.38113953145e-10;1.40990165341e-10
2015-02-24 12:30:00;1.34055114519e-07;6.29428003783e-10;1.39415782568e-10;1.42268444668e-10
2015-02-24 12:45:00;1.3540206229e-07;6.16664299739e-10;1.36658875005e-10;1.39489506895e-10
2015-02-24 13:00:00;1.37182674356e-07;6.21900125781e-10;1.42555916785e-10;1.45624952251e-10
2015-02-24 13:15:00;1.50149249152e-07;6.94739906075e-10;1.56890670051e-10;1.58871615928e-10
2015-02-24 13:30:00;1.4618530402e-07;1.37570381109e-09;2.61950539537e-10;2.66845078779e-10
2015-02-24 13:45:00;1.30879984396e-07;1.35183423019e-09;2.47168851291e-10;2.52143333922e-10
2015-02-24 14:00:00;1.36272364499e-07;6.54502095009e-10;1.28510280099e-10;1.30860469344e-10
2015-02-24 14:15:00;1.3216355582e-07;6.03402641212e-10;1.24533037818e-10;1.26787837275e-10
2015-02-24 14:30:00;1.33766356222e-07;6.02312964758e-10;1.36480225612e-10;1.38458383153e-10
